steps,return
12,1448.145425
15,1469.5084499999994
18,1533.9114000000002
21,1507.6682750000002
24,1530.6197000000004
27,1524.7228249999998
30,1546.1520750000004
33,1530.3305749999995
36,1556.2856999999997
39,1546.8692
42,1551.4056999999993
45,1558.412024999999
48,1561.6578000000004
51,1564.33905
54,1565.9178999999997
57,1566.961
60,1573.870825
63,1569.1930500000005
66,1572.7875750000005
69,1575.1767249999998
72,1578.6801000000005
75,1579.1910000000003
78,1581.1997500000002
81,1565.9851500000004
84,1558.813075
87,1595.4099500000004
90,1563.3687750000004
93,1595.3093000000001
96,1598.491425
99,1594.1356250000003
102,1588.4379499999995
105,1597.968825
108,1597.7227749999995
111,1596.5710249999993
114,1602.7544749999995
117,1602.3236
120,1586.6371499999996
123,1591.1161500000003
126,1597.7494999999994
129,1606.7155249999996
132,1596.0268500000002
135,1603.2963999999997
138,1601.9781500000006
141,1600.25655
144,1603.9064250000006
147,1596.6803750000008
150,1597.032525
153,1592.0846250000004
156,1598.7464249999994
159,1605.2234999999994
162,1603.0465749999992
165,1596.9843499999993
168,1600.093925
171,1581.1189000000002
174,1601.8084749999998
177,1599.803025000001
180,1596.9089000000001
183,1612.7901500000005
186,1602.3162250000005
189,1593.303675
192,1601.416475
195,1603.0329999999994
198,1611.10905
201,1581.048574999999
204,1596.8163000000002
207,1601.9742250000004
210,1604.0159999999998
213,1608.8253499999996
216,1593.4862500000002
219,1608.5051249999992
222,1604.8774999999994
225,1601.311575
228,1600.3480499999996
231,1606.7995749999998
234,1603.633625
237,1596.8020500000005
240,1608.29865
243,1600.6676749999992
246,1600.8051500000004
249,1603.07215
252,1611.3927750000003
255,1604.4958749999994
258,1610.7432749999998
261,1603.9264999999994
264,1603.0074000000004
267,1602.3656500000006
270,1598.3917000000004
273,1604.719724999999
276,1583.6667499999999
279,1592.5654499999996
282,1607.0416499999992
285,1600.3145750000006
288,1596.3797999999997
291,1591.6099
294,1592.0653249999991
297,1595.2811749999998
300,1597.7509999999997
303,1592.0534999999995
306,1587.868474999999
309,1605.1866750000002
312,1591.6932749999996
315,1595.3480999999997
